timestamp,temperature_c,machine_speed_rpm,production_quality_score,vibration_level_mm_s,energy_consumption_kwh,is_optimal,hour,day,day_of_week,week,shift,temperature_c_roll_mean,temperature_c_roll_std,machine_speed_rpm_roll_mean,machine_speed_rpm_roll_std,production_quality_score_roll_mean,production_quality_score_roll_std,vibration_level_mm_s_roll_mean,vibration_level_mm_s_roll_std,energy_consumption_kwh_roll_mean,energy_consumption_kwh_roll_std,efficiency_ratio,energy_per_rpm
2025-04-01 08:25:00,76.89,1479,8.26,0.08,1.86,0,8,1,Tuesday,14,Morning,74.4865,1.8784,1509.1154,30.9959,8.3873,0.2588,0.0631,0.0204,1.5535,0.2938,4.4409,0.001258
2025-04-01 08:26:00,74.43,1495,8.72,0.06,1.63,1,8,1,Tuesday,14,Morning,74.4844,1.8419,1508.5926,30.5151,8.3996,0.2617,0.063,0.02,1.5563,0.2885,5.3497,0.00109
2025-04-01 08:27:00,72.67,1451,8.61,0.04,1.32,0,8,1,Tuesday,14,Morning,74.4196,1.8398,1506.5357,31.8614,8.4071,0.2599,0.0621,0.0201,1.5479,0.2866,6.5227,0.00091
2025-04-01 08:28:00,76.97,1501,8.35,0.04,1.75,0,8,1,Tuesday,14,Morning,74.5076,1.8676,1506.3448,31.3041,8.4052,0.2554,0.0614,0.0201,1.5548,0.2839,4.7714,0.001166
2025-04-01 08:29:00,76.25,1538,8.95,0.08,1.63,0,8,1,Tuesday,14,Morning,74.5657,1.8625,1507.4,31.2979,8.4233,0.27,0.062,0.0201,1.5573,0.2793,5.4908,0.00106
2025-04-01 08:30:00,74.86,1466,8.61,0.05,1.53,0,8,1,Tuesday,14,Morning,74.5752,1.832,1506.0645,31.6575,8.4294,0.2675,0.0616,0.0198,1.5565,0.2747,5.6275,0.001044
2025-04-01 08:31:00,70.33,1494,8.03,0.09,1.16,0,8,1,Tuesday,14,Morning,74.4425,1.9522,1505.6875,31.2156,8.4169,0.2725,0.0625,0.0202,1.5441,0.2792,6.9224,0.000776
2025-04-01 08:32:00,75.15,1491,8.55,0.06,1.7,1,8,1,Tuesday,14,Morning,74.4639,1.9254,1505.2424,30.8302,8.4209,0.2692,0.0624,0.0198,1.5488,0.2761,5.0294,0.00114
2025-04-01 08:33:00,74.5,1545,8.1,0.03,1.59,0,8,1,Tuesday,14,Morning,74.465,1.896,1506.4118,31.1157,8.4115,0.2707,0.0615,0.0203,1.55,0.272,5.0943,0.001029
2025-04-01 08:34:00,77.8,1536,8.97,0.05,1.47,0,8,1,Tuesday,14,Morning,74.5603,1.9511,1507.2571,31.06,8.4274,0.2829,0.0611,0.0201,1.5477,0.2683,6.102,0.000957
2025-04-01 08:35:00,75.23,1522,8.44,0.05,1.81,1,8,1,Tuesday,14,Morning,74.5789,1.9263,1507.6667,30.7116,8.4278,0.2789,0.0608,0.0199,1.555,0.268,4.663,0.001189
2025-04-01 08:36:00,72.43,1544,8.42,0.06,1.12,0,8,1,Tuesday,14,Morning,74.5208,1.9319,1508.6486,30.8655,8.4276,0.275,0.0608,0.0196,1.5432,0.2738,7.5179,0.000725
2025-04-01 08:37:00,76.16,1511,8.61,0.09,1.18,0,8,1,Tuesday,14,Morning,74.5639,1.9241,1508.7105,30.4479,8.4324,0.2728,0.0616,0.0199,1.5337,0.2764,7.2966,0.000781
2025-04-01 08:38:00,76.1,1472,8.93,0.06,1.49,0,8,1,Tuesday,14,Morning,74.6033,1.9145,1507.7692,30.6143,8.4451,0.2808,0.0615,0.0197,1.5326,0.2728,5.9933,0.001012
2025-04-01 08:39:00,75.22,1495,8.23,0.03,1.37,1,8,1,Tuesday,14,Morning,74.6188,1.8923,1507.45,30.2866,8.4398,0.2792,0.0608,0.02,1.5285,0.2705,6.0073,0.000916
2025-04-01 08:40:00,77.85,1492,8.11,0.04,1.37,0,8,1,Tuesday,14,Morning,74.6976,1.9354,1507.0732,30.0028,8.4317,0.2805,0.0602,0.0201,1.5246,0.2683,5.9197,0.000918
2025-04-01 08:41:00,75.6,1542,8.9,0.06,1.12,0,8,1,Tuesday,14,Morning,74.719,1.9168,1507.9048,30.1207,8.4429,0.2863,0.0602,0.0198,1.515,0.2722,7.9464,0.000726
2025-04-01 08:42:00,71.82,1528,8.79,0.06,2.0,0,8,1,Tuesday,14,Morning,74.6516,1.9447,1508.3721,29.9174,8.4509,0.2878,0.0602,0.0196,1.5263,0.279,4.395,0.001309
2025-04-01 08:43:00,70.67,1487,8.73,0.05,1.24,0,8,1,Tuesday,14,Morning,74.5611,2.0135,1507.8864,29.7425,8.4573,0.2875,0.06,0.0194,1.5198,0.2791,7.0403,0.000834
2025-04-01 08:44:00,75.86,1547,8.66,0.08,1.16,0,8,1,Tuesday,14,Morning,74.59,1.9999,1508.7556,29.9751,8.4618,0.2858,0.0604,0.0194,1.5118,0.281,7.4655,0.00075
2025-04-01 08:45:00,72.12,1494,8.54,0.04,1.67,0,8,1,Tuesday,14,Morning,74.5363,2.0108,1508.4348,29.7199,8.4635,0.2829,0.06,0.0194,1.5152,0.2789,5.1138,0.001118
2025-04-01 08:46:00,75.32,1462,8.44,0.08,1.44,0,8,1,Tuesday,14,Morning,74.553,1.9921,1507.4468,30.1653,8.463,0.2798,0.0604,0.0194,1.5136,0.276,5.8611,0.000985
2025-04-01 08:47:00,77.55,1539,8.97,0.04,1.85,0,8,1,Tuesday,14,Morning,74.6154,2.0177,1508.1042,30.1882,8.4735,0.2863,0.06,0.0195,1.5206,0.2774,4.8486,0.001202
2025-04-01 08:48:00,73.85,1528,8.77,0.05,1.03,0,8,1,Tuesday,14,Morning,74.5998,1.9996,1508.5102,30.007,8.4796,0.2865,0.0598,0.0193,1.5106,0.2833,8.5146,0.000674
2025-04-01 08:49:00,75.62,1452,8.51,0.09,1.65,0,8,1,Tuesday,14,Morning,74.6202,1.9843,1507.38,30.7557,8.4802,0.2836,0.0604,0.0196,1.5134,0.2811,5.1576,0.001136
2025-04-01 08:50:00,74.54,1533,8.29,0.05,1.1,0,8,1,Tuesday,14,Morning,74.6186,1.9644,1507.8824,30.6572,8.4765,0.282,0.0602,0.0194,1.5053,0.2842,7.5364,0.000718
2025-04-01 08:51:00,78.32,1537,8.22,0.07,1.95,0,8,1,Tuesday,14,Morning,74.6898,2.0117,1508.4423,30.6226,8.4715,0.2815,0.0604,0.0193,1.5138,0.2881,4.2154,0.001269
2025-04-01 08:52:00,73.85,1459,8.2,0.09,1.8,0,8,1,Tuesday,14,Morning,74.674,1.9956,1507.5094,31.0778,8.4664,0.2812,0.0609,0.0195,1.5192,0.288,4.5556,0.001234
2025-04-01 08:53:00,77.2,1491,8.61,0.03,1.11,0,8,1,Tuesday,14,Morning,74.7207,2.0063,1507.2037,30.8651,8.4691,0.2792,0.0604,0.0198,1.5117,0.2906,7.7568,0.000744
2025-04-01 08:54:00,77.06,1545,8.05,0.04,1.22,0,8,1,Tuesday,14,Morning,74.7633,2.0125,1507.8909,30.9998,8.4615,0.2824,0.06,0.0198,1.5064,0.2906,6.5984,0.00079
2025-04-01 08:55:00,78.86,1546,8.83,0.09,1.69,0,8,1,Tuesday,14,Morning,74.8364,2.0679,1508.5714,31.136,8.468,0.2841,0.0605,0.02,1.5096,0.289,5.2249,0.001093
2025-04-01 08:56:00,76.09,1502,8.33,0.05,1.67,0,8,1,Tuesday,14,Morning,74.8584,2.0561,1508.4561,30.869,8.4656,0.2821,0.0604,0.0199,1.5125,0.2872,4.988,0.001112
2025-04-01 08:57:00,76.17,1546,8.92,0.04,1.4,0,8,1,Tuesday,14,Morning,74.881,2.0452,1509.1034,30.9916,8.4734,0.2859,0.06,0.0199,1.5105,0.285,6.3714,0.000906
2025-04-01 08:58:00,78.14,1457,8.9,0.06,1.54,0,8,1,Tuesday,14,Morning,74.9363,2.0714,1508.2203,31.4632,8.4807,0.2888,0.06,0.0197,1.511,0.2826,5.7792,0.001057
2025-04-01 08:59:00,73.18,1499,8.79,0.06,1.26,0,8,1,Tuesday,14,Morning,74.907,2.0663,1508.0667,31.2181,8.4858,0.2892,0.06,0.0196,1.5068,0.2821,6.9762,0.000841
2025-04-01 09:00:00,76.51,1483,8.69,0.07,1.51,0,9,1,Tuesday,14,Morning,74.8668,2.0096,1508.4333,30.7821,8.4892,0.2904,0.06,0.0196,1.4992,0.2754,5.755,0.001018
2025-04-01 09:01:00,76.87,1547,8.88,0.07,1.41,0,9,1,Tuesday,14,Morning,74.9508,1.9857,1508.4,30.7385,8.4877,0.2881,0.0605,0.0194,1.5058,0.2681,6.2979,0.000911
2025-04-01 09:02:00,72.5,1476,8.04,0.05,1.63,0,9,1,Tuesday,14,Morning,74.9112,2.0108,1508.0333,30.9948,8.4797,0.2938,0.06,0.0193,1.5063,0.2683,4.9325,0.001104
2025-04-01 09:03:00,76.52,1473,8.58,0.04,1.1,0,9,1,Tuesday,14,Morning,74.8987,1.9981,1507.95,31.0835,8.4847,0.2928,0.0592,0.0191,1.4935,0.2691,7.8,0.000747
2025-04-01 09:04:00,71.68,1547,8.96,0.06,1.47,0,9,1,Tuesday,14,Morning,74.8183,2.0293,1508.3333,31.4247,8.4995,0.294,0.0595,0.0189,1.4925,0.269,6.0952,0.00095
2025-04-01 09:05:00,74.48,1546,8.48,0.09,1.04,0,9,1,Tuesday,14,Morning,74.8255,2.0273,1509.3333,31.6558,8.503,0.2925,0.0597,0.0191,1.4808,0.2733,8.1538,0.000673
2025-04-01 09:06:00,74.5,1477,8.86,0.07,1.81,0,9,1,Tuesday,14,Morning,74.8102,2.0262,1508.2,31.5744,8.5167,0.2896,0.0595,0.019,1.4877,0.2763,4.895,0.001225
2025-04-01 09:07:00,71.9,1474,8.7,0.05,1.22,0,9,1,Tuesday,14,Morning,74.7537,2.0596,1508.2667,31.4965,8.5235,0.289,0.0592,0.019,1.4788,0.2763,7.1311,0.000828
2025-04-01 09:08:00,72.93,1466,8.54,0.04,1.05,0,9,1,Tuesday,14,Morning,74.7535,2.0598,1507.1833,31.8175,8.5288,0.2863,0.0582,0.0184,1.4792,0.2757,8.1333,0.000716
2025-04-01 09:09:00,72.95,1502,8.88,0.07,1.46,0,9,1,Tuesday,14,Morning,74.698,2.0628,1507.0667,31.8236,8.5345,0.2898,0.0588,0.018,1.477,0.2754,6.0822,0.000972
2025-04-01 09:10:00,77.17,1478,8.07,0.08,1.1,0,9,1,Tuesday,14,Morning,74.7522,2.0846,1505.9833,31.6857,8.5353,0.2884,0.0588,0.018,1.4662,0.2772,7.3364,0.000744
2025-04-01 09:11:00,72.86,1482,8.13,0.06,1.7,0,9,1,Tuesday,14,Morning,74.7393,2.0939,1505.6667,31.8309,8.5275,0.293,0.059,0.018,1.4702,0.2789,4.7824,0.001147
2025-04-01 09:12:00,77.02,1526,8.39,0.03,1.72,0,9,1,Tuesday,14,Morning,74.788,2.1127,1506.2833,31.861,8.5323,0.2882,0.059,0.018,1.4688,0.2774,4.8779,0.001127
2025-04-01 09:13:00,75.56,1480,8.8,0.04,1.7,1,9,1,Tuesday,14,Morning,74.8087,2.1141,1505.1667,31.5826,8.5358,0.2901,0.0583,0.018,1.4722,0.279,5.1765,0.001149
2025-04-01 09:14:00,74.0,1512,8.74,0.05,1.69,1,9,1,Tuesday,14,Morning,74.7737,2.1097,1505.05,31.5436,8.5428,0.2899,0.0583,0.018,1.4695,0.2761,5.1716,0.001118
2025-04-01 09:15:00,73.94,1521,8.08,0.08,1.0,0,9,1,Tuesday,14,Morning,74.7937,2.0958,1505.45,31.5919,8.539,0.2945,0.0583,0.018,1.4573,0.2805,8.08,0.000657
2025-04-01 09:16:00,72.85,1515,8.83,0.06,2.0,0,9,1,Tuesday,14,Morning,74.7733,2.1088,1505.0,31.2529,8.5478,0.2952,0.0582,0.0179,1.4605,0.2855,4.415,0.00132
2025-04-01 09:17:00,72.7,1510,8.84,0.06,1.26,0,9,1,Tuesday,14,Morning,74.7655,2.1157,1504.3667,30.7477,8.5525,0.2976,0.058,0.0178,1.463,0.2831,7.0159,0.000834
2025-04-01 09:18:00,76.65,1504,8.56,0.08,1.53,0,9,1,Tuesday,14,Morning,74.7818,2.1266,1505.0,30.3326,8.5543,0.2973,0.0587,0.0179,1.4612,0.2823,5.5948,0.001017
2025-04-01 09:19:00,75.3,1504,8.43,0.09,1.09,0,9,1,Tuesday,14,Morning,74.8653,2.0439,1505.6167,29.9203,8.5585,0.2937,0.059,0.0183,1.4493,0.2827,7.7339,0.000725
2025-04-01 09:20:00,75.85,1513,8.63,0.04,1.46,1,9,1,Tuesday,14,Morning,74.91,2.0355,1505.3167,29.7512,8.5595,0.2938,0.059,0.0183,1.4443,0.2797,5.911,0.000965
2025-04-01 09:21:00,76.11,1539,8.8,0.05,1.26,0,9,1,Tuesday,14,Morning,74.93,2.0414,1505.2,29.6023,8.5565,0.2903,0.0587,0.0183,1.4443,0.2797,6.9841,0.000819
2025-04-01 09:22:00,77.01,1471,8.64,0.04,1.75,0,9,1,Tuesday,14,Morning,75.0143,2.0206,1505.3333,29.4265,8.563,0.2877,0.0582,0.0184,1.454,0.2801,4.9371,0.00119
2025-04-01 09:23:00,72.92,1461,8.59,0.05,1.03,0,9,1,Tuesday,14,Morning,74.9898,2.0372,1504.4167,29.9408,8.5605,0.2868,0.0585,0.018,1.4533,0.2811,8.3398,0.000705
2025-04-01 09:24:00,80.13,1532,8.75,0.09,1.68,0,9,1,Tuesday,14,Morning,75.0928,2.1375,1504.4167,29.9408,8.5705,0.2827,0.0592,0.0184,1.4592,0.2821,5.2083,0.001097
2025-04-01 09:25:00,73.77,1502,8.05,0.1,1.78,0,9,1,Tuesday,14,Morning,75.0408,2.131,1504.8,29.7565,8.567,0.2878,0.0595,0.019,1.4578,0.2804,4.5225,0.001185
2025-04-01 09:26:00,76.53,1498,8.36,0.05,1.05,0,9,1,Tuesday,14,Morning,75.0758,2.138,1504.85,29.7423,8.561,0.2883,0.0593,0.019,1.4482,0.2843,7.9619,0.000701
2025-04-01 09:27:00,75.35,1499,8.12,0.05,1.79,1,9,1,Tuesday,14,Morning,75.1205,2.1147,1505.65,28.903,8.5528,0.2938,0.0595,0.0189,1.456,0.2872,4.5363,0.001194
2025-04-01 09:28:00,71.85,1507,8.54,0.08,1.75,0,9,1,Tuesday,14,Morning,75.0352,2.142,1505.75,28.897,8.556,0.2926,0.0602,0.0189,1.456,0.2872,4.88,0.001161
2025-04-01 09:29:00,75.01,1483,8.84,0.07,1.58,0,9,1,Tuesday,14,Morning,75.0145,2.136,1504.8333,28.7285,8.5542,0.2904,0.06,0.0188,1.4552,0.2867,5.5949,0.001065
2025-04-01 09:30:00,72.83,1502,8.74,0.07,1.8,0,9,1,Tuesday,14,Morning,74.9807,2.1545,1505.4333,28.2761,8.5563,0.2914,0.0603,0.0188,1.4597,0.29,4.8556,0.001198
2025-04-01 09:31:00,72.73,1529,8.87,0.06,1.39,0,9,1,Tuesday,14,Morning,75.0207,2.088,1506.0167,28.397,8.5703,0.2858,0.0598,0.0184,1.4635,0.2875,6.3813,0.000909
2025-04-01 09:32:00,74.43,1515,8.69,0.1,1.61,0,9,1,Tuesday,14,Morning,75.0087,2.0893,1506.4167,28.3509,8.5727,0.2862,0.0605,0.0191,1.462,0.2865,5.3975,0.001063
2025-04-01 09:33:00,74.91,1470,8.32,0.06,1.69,0,9,1,Tuesday,14,Morning,75.0155,2.0882,1505.1667,28.2742,8.5763,0.2814,0.061,0.0187,1.4637,0.2875,4.9231,0.00115
2025-04-01 09:34:00,74.82,1534,8.25,0.07,1.29,0,9,1,Tuesday,14,Morning,74.9658,2.0561,1505.1333,28.2384,8.5643,0.2797,0.0613,0.0186,1.4607,0.2884,6.3953,0.000841
2025-04-01 09:35:00,74.56,1532,8.5,0.1,1.23,0,9,1,Tuesday,14,Morning,74.9547,2.0565,1505.3,28.3688,8.5653,0.2793,0.0622,0.0192,1.451,0.2862,6.9106,0.000803
2025-04-01 09:36:00,77.94,1542,8.28,0.04,1.37,0,9,1,Tuesday,14,Morning,75.0465,2.0648,1505.2667,28.3237,8.563,0.2811,0.0618,0.0194,1.4552,0.2831,6.0438,0.000888
2025-04-01 09:37:00,76.75,1459,8.51,0.06,1.01,0,9,1,Tuesday,14,Morning,75.0563,2.0716,1504.4,28.9343,8.5613,0.2811,0.0613,0.0191,1.4523,0.2867,8.4257,0.000692
2025-04-01 09:38:00,73.63,1502,8.99,0.04,2.0,0,9,1,Tuesday,14,Morning,75.0152,2.075,1504.9,28.6224,8.5623,0.2826,0.061,0.0193,1.4608,0.2953,4.495,0.001332
2025-04-01 09:39:00,74.25,1514,8.27,0.08,1.58,0,9,1,Tuesday,14,Morning,74.999,2.0772,1505.2167,28.6162,8.563,0.2818,0.0618,0.019,1.4643,0.2955,5.2342,0.001044
2025-04-01 09:40:00,74.63,1482,8.94,0.05,1.17,1,9,1,Tuesday,14,Morning,74.9453,2.0436,1505.05,28.7234,8.5768,0.2796,0.062,0.0188,1.461,0.2977,7.641,0.000789
2025-04-01 09:41:00,74.52,1512,8.67,0.05,1.25,1,9,1,Tuesday,14,Morning,74.9273,2.0425,1504.55,28.3276,8.573,0.2766,0.0618,0.0189,1.4632,0.2956,6.936,0.000827
2025-04-01 09:42:00,73.12,1480,8.84,0.06,1.9,0,9,1,Tuesday,14,Morning,74.949,2.0157,1503.75,28.3319,8.5738,0.2774,0.0618,0.0189,1.4615,0.2928,4.6526,0.001284
2025-04-01 09:43:00,76.11,1451,8.31,0.04,1.85,0,9,1,Tuesday,14,Morning,75.0397,1.9409,1503.15,29.0644,8.5668,0.2786,0.0617,0.0191,1.4717,0.2956,4.4919,0.001275
2025-04-01 09:44:00,75.88,1549,8.67,0.06,1.35,0,9,1,Tuesday,14,Morning,75.04,1.9411,1503.1833,29.1167,8.567,0.2787,0.0613,0.0189,1.4748,0.2932,6.4222,0.000872
2025-04-01 09:45:00,75.86,1500,8.41,0.06,1.19,1,9,1,Tuesday,14,Morning,75.1023,1.9054,1503.2833,29.0949,8.5648,0.2794,0.0617,0.0187,1.4668,0.2943,7.0672,0.000793
2025-04-01 09:46:00,73.22,1504,8.31,0.06,1.48,0,9,1,Tuesday,14,Morning,75.0673,1.9206,1503.9833,28.5856,8.5627,0.2809,0.0613,0.0185,1.4675,0.2943,5.6149,0.000984
2025-04-01 09:47:00,73.54,1482,8.89,0.08,1.78,0,9,1,Tuesday,14,Morning,75.0005,1.9024,1503.0333,28.3483,8.5613,0.2791,0.062,0.0185,1.4663,0.2929,4.9944,0.001201
2025-04-01 09:48:00,74.76,1528,8.41,0.09,1.37,0,9,1,Tuesday,14,Morning,75.0157,1.8967,1503.0333,28.3483,8.5553,0.2784,0.0627,0.0188,1.472,0.2875,6.1387,0.000897
2025-04-01 09:49:00,72.59,1485,8.26,0.04,1.07,0,9,1,Tuesday,14,Morning,74.9652,1.9205,1503.5833,27.653,8.5512,0.281,0.0618,0.0186,1.4623,0.2912,7.7196,0.000721
2025-04-01 09:50:00,76.03,1458,8.36,0.06,1.1,0,9,1,Tuesday,14,Morning,74.99,1.9246,1502.3333,27.9937,8.5523,0.28,0.062,0.0186,1.4623,0.2912,7.6,0.000754
2025-04-01 09:51:00,78.51,1518,8.93,0.1,1.69,0,9,1,Tuesday,14,Morning,74.9932,1.9303,1502.0167,27.7009,8.5642,0.2807,0.0625,0.0192,1.458,0.2857,5.284,0.001113
2025-04-01 09:52:00,77.42,1498,8.92,0.05,1.0,0,9,1,Tuesday,14,Morning,75.0527,1.9494,1502.6667,27.126,8.5762,0.2803,0.0618,0.0189,1.4447,0.2881,8.92,0.000668
2025-04-01 09:53:00,75.24,1540,8.35,0.09,1.08,0,9,1,Tuesday,14,Morning,75.02,1.9291,1503.4833,27.5038,8.5718,0.2818,0.0628,0.0188,1.4442,0.2887,7.7315,0.000701
2025-04-01 09:54:00,73.96,1518,8.09,0.06,1.96,0,9,1,Tuesday,14,Morning,74.9683,1.915,1503.0333,27.0298,8.5725,0.2806,0.0632,0.0185,1.4565,0.2947,4.1276,0.001291
2025-04-01 09:55:00,77.52,1498,8.5,0.08,1.71,0,9,1,Tuesday,14,Morning,74.946,1.8763,1502.2333,26.4404,8.567,0.2787,0.063,0.0183,1.4568,0.295,4.9708,0.001142
2025-04-01 09:56:00,72.75,1509,8.73,0.09,1.12,0,9,1,Tuesday,14,Morning,74.8903,1.8913,1502.35,26.4548,8.5737,0.2777,0.0637,0.0186,1.4477,0.2968,7.7946,0.000742
2025-04-01 09:57:00,74.66,1479,8.93,0.06,1.6,1,9,1,Tuesday,14,Morning,74.8652,1.884,1501.2333,25.9911,8.5738,0.2779,0.064,0.0183,1.451,0.2974,5.5812,0.001082
2025-04-01 09:58:00,75.24,1502,8.75,0.07,1.44,0,9,1,Tuesday,14,Morning,74.8168,1.8351,1501.9833,25.334,8.5713,0.2756,0.0642,0.0183,1.4493,0.2972,6.0764,0.000959
2025-04-01 09:59:00,72.44,1504,8.97,0.09,1.17,0,9,1,Tuesday,14,Morning,74.8045,1.8487,1502.0667,25.3323,8.5743,0.279,0.0647,0.0186,1.4478,0.2984,7.6667,0.000778
2025-04-01 10:00:00,74.39,1512,8.2,0.06,1.17,1,10,1,Tuesday,14,Morning,74.7692,1.8358,1502.55,25.2388,8.5662,0.2827,0.0645,0.0186,1.4422,0.3004,7.0085,0.000774
2025-04-01 10:01:00,71.12,1479,8.14,0.08,1.09,0,10,1,Tuesday,14,Morning,74.6733,1.8739,1501.4167,24.7306,8.5538,0.2849,0.0647,0.0187,1.4368,0.3038,7.4679,0.000737
2025-04-01 10:02:00,72.74,1523,8.67,0.04,1.22,0,10,1,Tuesday,14,Morning,74.6773,1.8695,1502.2,24.6561,8.5643,0.2771,0.0645,0.0189,1.43,0.304,7.1066,0.000801
2025-04-01 10:03:00,75.15,1458,8.53,0.08,1.81,0,10,1,Tuesday,14,Morning,74.6545,1.8549,1501.95,25.0304,8.5635,0.2771,0.0652,0.0187,1.4418,0.3047,4.7127,0.001241
